Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2024-12-01 12:20","3102","5089","0","537","3206","-614","-102","8007","18","438","2075","0","-348","-2165","0","1918","0","0","19","2444",
"2024-12-01 12:25","3127","5087","0","537","3185","-792","-102","8062","18","438","2032","0","-275","-2125","0","1677","0","0","18","2375",
"2024-12-01 12:30","3111","5088","0","537","3172","-776","-102","8063","18","436","2073","0","-324","-2282","0","1850","0","0","19","2403",
"2024-12-01 12:35","3107","5090","0","537","3226","-712","-102","8065","18","435","2069","0","-414","-2173","0","1895","0","0","19","2364",
"2024-12-01 12:40","3201","5086","0","543","3198","-873","-102","8105","18","435","2066","0","-363","-2236","0","1756","0","0","19","2326",
"2024-12-01 12:45","3213","5088","0","543","3156","-1046","-102","8255","18","435","2070","0","-389","-2213","0","1575","0","0","19","2440",
"2024-12-01 12:50","3143","5085","0","541","3093","-1167","-102","8383","18","435","2058","0","-427","-2293","0","1569","0","0","19","2435",
"2024-12-01 12:55","3145","5089","0","541","2944","-994","-102","8426","19","435","2066","0","-391","-2258","0","1655","0","0","19","2367",
"2024-12-01 13:00","3094","5088","0","541","3007","-884","-92","8418","19","435","2060","0","-471","-2116","0","1723","0","0","19","2439",
"2024-12-01 13:05","3014","5086","0","527","3157","-984","-82","8342","19","436","2068","0","-258","-2303","0","1598","0","0","19","2550",
"2024-12-01 13:10","2997","5091","0","528","3206","-997","-81","8312","19","436","2030","0","-477","-2212","0","1713","0","0","19","2554",
"2024-12-01 13:15","2961","5093","0","527","3297","-923","-81","8324","19","439","2065","0","-539","-2298","0","1953","0","0","19","2420",
"2024-12-01 13:20","2943","5092","0","526","3367","-730","-82","8223","19","440","2063","0","-535","-2248","0","2073","0","0","19","2420",
"2024-12-01 13:25","2949","5089","0","525","3430","-912","-81","8287","19","440","2064","0","-558","-2238","0","1904","0","0","19","2824",
"2024-12-01 13:30","2960","5094","0","526","3437","-821","-81","8262","22","440","2024","0","-369","-2318","0","1886","0","0","19","2788",
"2024-12-01 13:35","2928","5086","0","525","3584","-942","-81","8224","23","440","2062","0","-453","-2200","0","1729","0","0","19","2920",
"2024-12-01 13:40","2930","5092","0","526","3606","-916","-81","8182","23","440","2063","0","-565","-2215","0","1885","0","0","19","2809",
"2024-12-01 13:45","2879","5091","0","526","3665","-749","-81","8023","30","440","2060","0","-558","-2230","0","2058","0","0","18","2818",
"2024-12-01 13:50","2864","5087","0","529","3855","-681","-81","7859","41","439","2022","0","-490","-2210","0","2029","0","0","19","2905",
"2024-12-01 13:55","2865","5086","0","536","3988","-663","-81","7780","43","439","2053","0","-469","-2195","0","2003","0","0","18","2902",
"2024-12-01 14:00","2952","5091","0","547","3980","-937","-81","7788","45","440","2062","0","-441","-2309","0","1832","0","0","19","2881",
